uri,artist_names,track_name,search_term
spotify:track:4NoOME4Dhf4xgxbHDT7VGe,"KAROL G, Romeo Santos",X SI VOLVEMOS,x si volvemos by karol g
spotify:track:17js0w8GTkTUFGFM6PYvBd,"Fuerza Regida, Peso Pluma",Igualito a Mi Apá,igualito a mi apá by fuerza regida
spotify:track:3XjvMZqm2AQ8thMCD6w9w2,"Anuel AA, Mambo Kingz, DJ Luian",Mas Rica Que Ayer,mas rica que ayer by anuel aa
spotify:track:4W4fNrZYkobj539TOWsLO2,"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,die for you by the weeknd
spotify:track:6otePxalBK8AVa20xhZYVQ,KAROL G,MIENTRAS ME CURO DEL CORA,mientras me curo del cora by karol g
spotify:track:3HqcNJdZ2seoGxhn0wVNDK,KAROL G,PROVENZA,provenza by karol g
spotify:track:44FzVABpR2cciquTqADA0D,Young Miko,Lisa,lisa by young miko
spotify:track:5IlLm20JXhKbMtsH20NblC,Rels B,lo que hay x aquí,lo que hay x aquí by rels b
spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",El Merengue,el merengue by marshmello
spotify:track:1aUq8rjW1EwkAkMri4VfJy,"Rauw Alejandro, Lyanno, Brray",LOKERA,lokera by rauw alejandro
spotify:track:4WiQA1AGWHFvaxBU6bHghs,Quevedo,PUNTO G,punto g by quevedo
spotify:track:5bU6rOWXTwagpjUcGp7I8N,"Peso Pluma, Raul Vega",El Belicon,el belicon by peso pluma
spotify:track:7KBTLsYW2sI42vdlVP079C,"miguel cornejo, Gabito Ballesteros",La Bolsa Gucci,la bolsa gucci by miguel cornejo
spotify:track:2UsQPVCNmSrbt9MY0vtTsb,"Hans el Oso, La Receta",Don Ismael,don ismael by hans el oso
spotify:track:279gdvickeQgmRt3EHBtNg,"Lenin Ramírez, Luis R Conriquez",Solita (En Vivo),solita by lenin ramírez
spotify:track:16dUQ4quIHDe4ZZ0wF1EMN,"KAROL G, Ovy On The Drums",CAIRO,cairo by karol g
spotify:track:1DxEbt6OSbrkRthk6pjZue,"LiL CaKe, Migrantes, Nico Valdi",MERCHO,mercho by lil cake
